Participation ballot #,Start date,End date,Duration,Program,Gender,Question 1: Do you Want to be Matched with Second Year Peer Mentor? <br><br>If the answer is yes you are in the right place.  If the answer is no then you can just say no and close this survey.,Question 6.1 (Female): Gender,Question 6.2 (Male): Gender,Question 6.3 (Other): Gender,Question 7.1 (Yes): Are you an international student?,Question 7.2 (No): Are you an international student?,Question 7.3 (I prefer not to answer): Are you an international student?,Question 8: What high school did you attend?,Question 10.1 (English): What languages do you speak?,Question 10.2 (French): What languages do you speak?,Question 10.3 (Other please specify.): What languages do you speak?,Question 10.3 (Other please specify. - Text entered): What languages do you speak?,Question 11.1 (English): What language would you prefer to speak with your mentor?,Question 11.2 (French): What language would you prefer to speak with your mentor?,Question 11.3 (Other please specify.): What language would you prefer to speak with your mentor?,Question 11.3 (Other please specify. - Text entered): What language would you prefer to speak with your mentor?,Question 12: Would you prefer being matched with someone of the same gender?,Question 13: Are you involved in any extra-curricular activities (clubs sports and/or volunteering)?,Question 13 (Text entered): Are you involved in any extra-curricular activities (clubs sports and/or volunteering)?,Question 14: Do you hope to get involved in any extra-curricular activities (clubs sports volunteering or certificates?) this semester at the College?,Question 14 (Text entered): Do you hope to get involved in any extra-curricular activities (clubs sports volunteering or certificates?) this semester at the College?,Question 15: Do you have any other hobbies or interests you would like to share?,Question 15 (Text entered): Do you have any other hobbies or interests you would like to share?,,
1,"July 10th, 2023 16:47:13","July 10th, 2023 16:48:22",0:01:09,200.B2 Pure & Applied Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
2,"July 10th, 2023 16:47:33","July 10th, 2023 16:53:48",0:06:15,200.B1 Health Science,F,1,1,0,0,0,1,0,'Collège Durocher Saint-Lambert,1,1,0,,1,0,0,,2,1,'I’m doing Sport-Études in trampoline,1,'Volunteering in the health field,2,,,
3,"July 10th, 2023 16:54:48","July 10th, 2023 16:57:33",0:02:45,200.B1 Health Science,F,1,1,0,0,0,1,0,'École Secondaire des Sources,1,1,0,,1,0,0,,1,2,,1,"'I would love to devote my time for volunteering and helping people as well as being involved in clubs, sports and certificates!",1,"'I love science, team sports like volleyball, playing the piano, drawing and just meeting new people :)",,
4,"July 10th, 2023 17:15:21","July 10th, 2023 17:15:51",0:00:30,300.L1 Social Sc. - LSJ,F,2,,,,,,,,,,,,,,,,,,,,,,,,
5,"July 10th, 2023 17:28:54","July 10th, 2023 17:39:00",0:10:06,700.A0 Arts and Sciences,F,1,1,0,0,0,1,0,'Villa Sainte-Marcelline,1,1,0,,1,0,0,,2,2,,1,"'Dance, something related to volunteering, Silver Key, something related to music",1,"'Dancing, karate, music (piano, rap, r&b, kpop, etc)",,
6,"July 10th, 2023 17:40:04","July 10th, 2023 17:41:36",0:01:32,700.A0 Arts and Sciences,F,1,1,0,0,0,1,0,'Villa Sainte-Marcelline,1,1,1,'Mandarin,1,1,1,'Mandarin,2,2,,1,'Flag football,2,,,
7,"July 10th, 2023 17:53:21","July 10th, 2023 17:55:03",0:01:42,700.A0 Arts and Sciences,M,2,,,,,,,,,,,,,,,,,,,,,,,,
8,"July 10th, 2023 18:22:03","July 10th, 2023 18:26:04",0:04:01,200.B1 Health Science,F,1,1,0,0,0,1,0,'Espat,1,1,0,,1,0,0,,2,2,,1,'Volunteer work,1,"'Sports, tennis",,
9,"July 10th, 2023 18:39:21","July 10th, 2023 18:47:14",0:07:53,200.B1 Health Science,F,1,1,0,0,0,1,0,'École secondaire Grande-Rivière,1,1,1,'Mandarin,1,1,0,,1,1,"'Judo, and volunteering in the community",1,"'Dragon boat team, health science club, first aid team, book club, Montreal Chinese hospital club",1,"'Sewing, reading, outdoors activities",,
10,"July 10th, 2023 18:49:15","July 10th, 2023 18:50:38",0:01:23,200.B2 Pure & Applied Science,M,1,0,1,0,0,1,0,'École secondaire Antoine-Brossard,1,1,0,,1,0,0,,1,1,'Soccer,1,'Soccer,2,,,
11,"July 10th, 2023 18:48:37","July 10th, 2023 18:52:09",0:03:32,300.CM Social Sc. - Commerce,M,1,0,1,0,0,1,0,'Collège Charlemagne,1,1,1,"'Telugu, Tamil",1,0,0,,2,1,"'Violin, Chess",1,"'Investment Club, Desi Club, Badminton",1,"'Stock/Option Trading, Reading, Playing badminton/tennis",,
12,"July 10th, 2023 19:01:35","July 10th, 2023 19:02:01",0:00:26,200.B1 Health Science,M,2,,,,,,,,,,,,,,,,,,,,,,,,
13,"July 10th, 2023 19:25:10","July 10th, 2023 19:25:22",0:00:12,300.CM Social Sc. - Commerce,F,2,,,,,,,,,,,,,,,,,,,,,,,,
14,"July 10th, 2023 19:26:14","July 10th, 2023 19:28:08",0:01:54,200.B1 Health Science,F,2,,,,,,,,,,,,,,,,,,,,,,,,
15,"July 10th, 2023 19:23:03","July 10th, 2023 19:29:21",0:06:18,200.HH Honours Health Science,F,1,1,0,0,0,1,0,'Royal West Academy,1,1,0,,1,0,0,,1,1,'Basketball and in training for St. John’s Ambulance First Aid/First Responder,1,"'Science Fair, Ultimate frisbee and potentially others (Biology club, Health Science club, First Aid Team, Montreal Children’s Hospital Foundation Club, Tennis Club)",1,"'Basketball, baking, cooking, music (flute/piccolo), and languages",,
16,"July 10th, 2023 19:28:39","July 10th, 2023 19:30:50",0:02:11,200.B1 Health Science,F,1,1,0,0,0,1,0,'Tav College,1,0,0,,1,0,0,,2,2,,1,'Badminton,2,,,
17,"July 10th, 2023 19:40:23","July 10th, 2023 19:40:49",0:00:26,300.CM Social Sc. - Commerce,M,2,,,,,,,,,,,,,,,,,,,,,,,,
18,"July 10th, 2023 19:46:40","July 10th, 2023 19:53:21",0:06:41,200.HP Honours Pure & Applied Science,M,1,0,1,0,0,1,0,'Collège international Marie de France,1,1,0,,1,0,0,,1,1,"'Basketball, piano",1,"'Debate, basketball, volunteering, certificates",1,"'Piano, drawing, chess, etc.",,
19,"July 10th, 2023 20:11:12","July 10th, 2023 20:11:36",0:00:24,300.HB Social Sc. - Human Behavior,F,2,,,,,,,,,,,,,,,,,,,,,,,,
